Name: L1M1_MMXU1APhsBIMag | KeyTag: 10020000
Name: L1M1_MMXU1APhsCIMag | KeyTag: 10040000
Name: L1M1_MMXU1TotWInstMag | KeyTag: 10160000
Name: L1M1_MMXU1TotVArInstMag | KeyTag: 10140000
Name: L1M1_MMXU1TotPFMag | KeyTag: 10120000
Name: L1M1_CSWI2PosStVal | KeyTag: 
Name: L2BCU_MMXU1PPVPhsABIMag | KeyTag: 10320000
Name: L2BCU_MMXU1PPVPhsBCIMag | KeyTag: 10340000
Name: L2BCU_MMXU1PPVPhsCAIMag | KeyTag: 10360000
Name: L2BCU_MMXU1APhsAIMag | KeyTag: 10260000
Name: L2BCU_MMXU1APhsBIMag | KeyTag: 10280000
Name: L2BCU_MMXU1APhsCIMag | KeyTag: 10300000
Name: L2BCU_MMXU1TotWInstMag | KeyTag: 10420000
Name: L2BCU_MMXU1TotVArInstMag | KeyTag: 10400000
Name: L2BCU_MMXU1TotPFMag | KeyTag: 10380000
Name: L2BCU_CSWI2PosStVal | KeyTag: 
Name: L3BCU_MMXU1PPVPhsABIMag | KeyTag: 10700000
Name: L3BCU_MMXU1PPVPhsBCIMag | KeyTag: 10720000
Name: L3BCU_MMXU1PPVPhsCAIMag | KeyTag: 10740000
Name: L3BCU_MMXU1APhsAIMag | KeyTag: 10640000
Name: L3BCU_MMXU1APhsBIMag | KeyTag: 10660000
Name: L3BCU_MMXU1APhsCIMag | KeyTag: 10680000
Name: L3BCU_MMXU1TotWInstMag | KeyTag: 10800000
Name: L3BCU_MMXU1TotVArInstMag | KeyTag: 10780000
Name: L3BCU_MMXU1TotPFMag | KeyTag: 10760000
Name: L3BCU_CSWI2PosStVal | KeyTag: 
